sample	tool	universe_sha256	universe_id	count
clean	tool_clean	e537c5fd3a6b85d2f4ff9e7d876514cc499dadf69018f5f8a08759c27b1444f4	1814953751	1
clean	tool_clean	e537c5fd3a6b85d2f4ff9e7d876514cc499dadf69018f5f8a08759c27b1444f4	Q9X1J3/1-250	1
clean	tool_clean	e537c5fd3a6b85d2f4ff9e7d876514cc499dadf69018f5f8a08759c27b1444f4	1446399400	0
clean	tool_clean	e537c5fd3a6b85d2f4ff9e7d876514cc499dadf69018f5f8a08759c27b1444f4	2632373804	0
clean	tool_clean	e537c5fd3a6b85d2f4ff9e7d876514cc499dadf69018f5f8a08759c27b1444f4	711279214	0
clean	tool_clean	e537c5fd3a6b85d2f4ff9e7d876514cc499dadf69018f5f8a08759c27b1444f4	COLLIDE/1-10	0
clean	tool_clean	e537c5fd3a6b85d2f4ff9e7d876514cc499dadf69018f5f8a08759c27b1444f4	COLLIDE/20-30	0
clean	tool_clean	e537c5fd3a6b85d2f4ff9e7d876514cc499dadf69018f5f8a08759c27b1444f4	LEGIT_12_34	0
clean	tool_clean	e537c5fd3a6b85d2f4ff9e7d876514cc499dadf69018f5f8a08759c27b1444f4	X	0
clean	tool_clean	e537c5fd3a6b85d2f4ff9e7d876514cc499dadf69018f5f8a08759c27b1444f4	X_1_2	0
